id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
9650603,Jambes,HOUSE,HOUSE,residential_sale,229000,3,132,0,0,0,0,None,1,None,413,2,0,TO_RENOVATE
9813574,Messancy,HOUSE,HOUSE,residential_sale,229000,2,146,0,0,0,1,None,1,None,390,2,0,TO_BE_DONE_UP
9630156,Gembloux,HOUSE,HOUSE,residential_sale,230000,2,100,0,0,0,1,None,0,None,820,3,0,GOOD
10024351,Lombardsijde,HOUSE,BUNGALOW,residential_sale,230000,2,60,0,0,0,1,None,1,None,286,4,0,GOOD
9970582,Amay,HOUSE,HOUSE,residential_sale,235000,4,130,0,0,0,1,None,1,None,1000,3,0,AS_NEW
10107448,Seraing,HOUSE,HOUSE,residential_sale,239000,2,112,0,0,0,1,None,0,None,65,3,0,GOOD
9865459,Pont-à-Celles Thiméon,HOUSE,HOUSE,residential_sale,239900,4,197,0,0,0,1,None,1,None,710,3,0,TO_BE_DONE_UP
10010773,Awans,HOUSE,HOUSE,residential_sale,240000,3,143,0,0,0,1,1,1,None,260,3,0,GOOD
10011946,Havelange,HOUSE,APARTMENT_BLOCK,residential_sale,240000,5,240,0,0,0,1,None,1,None,386,2,0,
10032530,Tintigny Saint-Vincent,HOUSE,HOUSE,residential_sale,240000,3,140,0,0,0,1,None,0,None,238,2,0,GOOD
9820819,Tintigny Bellefontaine,HOUSE,HOUSE,residential_sale,240000,3,200,0,0,0,1,None,1,None,682,3,0,TO_RENOVATE
9935286,Zedelgem,HOUSE,HOUSE,residential_sale,245000,3,229,0,0,0,1,None,0,None,442,3,0,GOOD
9906423,Braine-l'Alleud,HOUSE,HOUSE,residential_sale,249000,5,160,0,0,0,0,None,1,None,170,2,0,TO_RENOVATE
10086218,Seraing,HOUSE,HOUSE,residential_sale,250000,5,194,0,0,0,1,None,1,None,278,2,0,JUST_RENOVATED
9985592,Virton,HOUSE,HOUSE,residential_sale,250000,2,120,0,0,0,0,None,0,None,1500,4,0,GOOD
9971125,Hensies,HOUSE,HOUSE,residential_sale,250000,6,366,0,0,0,1,None,1,None,1500,2,0,TO_RENOVATE
9967330,Liège,HOUSE,HOUSE,residential_sale,254000,5,152,None,0,0,0,None,0,None,0,2,0,TO_BE_DONE_UP
10033091,Ronse,HOUSE,HOUSE,residential_sale,255000,3,200,None,0,0,1,None,0,None,724,3,0,
10061770,Willebroek,HOUSE,HOUSE,residential_sale,259000,3,None,0,0,0,0,None,0,None,0,3,0,TO_RENOVATE
10096824,Seraing,HOUSE,MANSION,residential_sale,259000,5,230,0,0,0,1,None,1,None,331,2,0,GOOD
9938999,Ronse,HOUSE,MIXED_USE_BUILDING,residential_sale,259000,8,300,0,0,0,1,None,0,None,110,2,0,TO_BE_DONE_UP
10096748,La Louviere,HOUSE,HOUSE,residential_sale,260000,3,210,0,0,0,1,None,1,None,300,2,0,GOOD
10015807,Herstal,HOUSE,MIXED_USE_BUILDING,residential_sale,264000,2,220,None,0,0,0,None,0,None,0,3,0,
