,id,locality,postal_code,region,province,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
15,10146186,Etterbeek,1040,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,275000,1,75,INSTALLED,INSTALLED,0,1,1,9,-1,-1,-1,2,-1,TO_BE_DONE_UP
16,10145269,Woluwe-Saint-Lambert,1200,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,275000,1,83,HYPER_EQUIPPED,1,0,0,1,5,-1,-1,-1,2,0,AS_NEW
17,10145286,Gent Sint-Denijs-Westrem,9051,Flanders,East Flanders,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,-1,-1,-1,NO_INFO,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,NO_INFO
18,9981060,LIEGE,4000,Wallonie,Liège,HOUSE,HOUSE,residential_sale,190000,3,130,NOT_INSTALLED,NOT_INSTALLED,-1,0,1,6,-1,-1,73,2,-1,TO_RENOVATE
19,9929122,Andenne,5300,Wallonie,Namur,HOUSE,HOUSE,residential_sale,190000,2,161,SEMI_EQUIPPED,SEMI_EQUIPPED,-1,0,-1,-1,1,50,50,2,0,TO_RENOVATE
20,9999265,Courcelles,6183,Wallonie,Hainaut,HOUSE,HOUSE,residential_sale,190000,4,177,SEMI_EQUIPPED,SEMI_EQUIPPED,0,0,1,30,1,340,554,3,0,GOOD
21,10051641,Brugge,8000,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,195000,2,89,NO_INFO,-1,-1,0,-1,-1,-1,-1,38,-1,0,NO_INFO
22,9983753,Gent,9050,Flanders,East Flanders,HOUSE,HOUSE,residential_sale,195000,3,120,NO_INFO,-1,0,0,1,12,-1,-1,68,2,-1,TO_RENOVATE
23,9971024,Booischot,2221,Flanders,Antwerp,HOUSE,HOUSE,residential_sale,199000,3,147,NO_INFO,-1,-1,0,-1,-1,1,350,775,3,-1,TO_RENOVATE
24,10067129,Houyet Hulsonniaux,5560,Wallonie,Namur,HOUSE,HOUSE,residential_sale,199000,4,212,SEMI_EQUIPPED,SEMI_EQUIPPED,0,0,1,65,1,1300,1655,3,0,TO_BE_DONE_UP
